zip,year,est total,est gen,est cold,est farm,est other
94523,2012,0,0,0,0,0
95957,2012,0,0,0,0,0
95032,2012,0,0,0,0,0
95341,2012,0,0,0,0,0
92630,2012,1,1,0,0,0
92102,2012,1,0,0,0,1
95565,2012,0,0,0,0,0
92620,2012,0,0,0,0,0
90003,2012,0,0,0,0,0
93283,2012,0,0,0,0,0
95621,2012,2,2,0,0,0
91405,2012,1,1,0,0,0
95842,2012,1,1,0,0,0
93023,2012,0,0,0,0,0
90723,2012,2,1,0,1,0
92335,2012,14,12,2,0,0
92539,2012,0,0,0,0,0
96120,2012,0,0,0,0,0
90245,2012,0,0,0,0,0
96140,2012,0,0,0,0,0
95461,2012,0,0,0,0,0
96019,2012,0,0,0,0,0
94544,2012,9,9,0,0,0
95659,2012,1,0,0,1,0
93105,2012,0,0,0,0,0
95374,2012,0,0,0,0,0
95470,2012,0,0,0,0,0
90403,2012,0,0,0,0,0
94510,2012,7,4,0,0,3
91761,2012,89,78,7,0,4
95932,2012,0,0,0,0,0
90059,2012,1,1,0,0,0
92210,2012,0,0,0,0,0
95605,2012,0,0,0,0,0
94587,2012,8,4,1,0,3
95356,2012,1,0,0,0,1
90710,2012,0,0,0,0,0
92655,2012,0,0,0,0,0
90025,2012,0,0,0,0,0
92114,2012,0,0,0,0,0
96007,2012,0,0,0,0,0
92405,2012,0,0,0,0,0
95540,2012,0,0,0,0,0
90062,2012,0,0,0,0,0
92122,2012,0,0,0,0,0
95602,2012,0,0,0,0,0
91608,2012,0,0,0,0,0
91762,2012,0,0,0,0,0
95346,2012,0,0,0,0,0
91106,2012,0,0,0,0,0
95046,2012,0,0,0,0,0
90029,2012,0,0,0,0,0
91403,2012,0,0,0,0,0
92057,2012,0,0,0,0,0
94002,2012,0,0,0,0,0
93430,2012,0,0,0,0,0
92251,2012,2,2,0,0,0
95465,2012,0,0,0,0,0
92703,2012,0,0,0,0,0
95380,2012,5,0,5,0,0
90031,2012,0,0,0,0,0
94030,2012,0,0,0,0,0
95965,2012,0,0,0,0,0
90704,2012,0,0,0,0,0
90047,2012,0,0,0,0,0
95690,2012,1,1,0,0,0
96103,2012,0,0,0,0,0
93307,2012,1,0,0,1,0
92835,2012,2,1,1,0,0
91340,2012,1,0,0,0,1
94706,2012,0,0,0,0,0
95237,2012,0,0,0,0,0
93609,2012,0,0,0,0,0
95917,2012,0,0,0,0,0
92320,2012,0,0,0,0,0
93561,2012,0,0,0,0,0
92220,2012,0,0,0,0,0
93239,2012,0,0,0,0,0
92307,2012,2,2,0,0,0
94597,2012,0,0,0,0,0
95667,2012,1,0,0,0,1
92806,2012,2,1,1,0,0
92683,2012,1,1,0,0,0
92140,2012,0,0,0,0,0
95817,2012,0,0,0,0,0
94589,2012,0,0,0,0,0
94574,2012,3,0,1,0,2
95678,2012,2,2,0,0,0
92371,2012,0,0,0,0,0
94086,2012,2,0,0,0,2
95457,2012,0,0,0,0,0
95993,2012,0,0,0,0,0
92570,2012,2,2,0,0,0
