,zip,year,est total,est gen,est cold,est farm,est other
0,94523,2012,0,0,0,0,0
1,95957,2012,0,0,0,0,0
2,95032,2012,0,0,0,0,0
3,95341,2012,0,0,0,0,0
4,92630,2012,1,1,0,0,0
5,92102,2012,1,0,0,0,1
6,95565,2012,0,0,0,0,0
7,92620,2012,0,0,0,0,0
8,90003,2012,0,0,0,0,0
9,93283,2012,0,0,0,0,0
10,95621,2012,2,2,0,0,0
11,91405,2012,1,1,0,0,0
12,95842,2012,1,1,0,0,0
13,93023,2012,0,0,0,0,0
14,90723,2012,2,1,0,1,0
15,92335,2012,14,12,2,0,0
16,92539,2012,0,0,0,0,0
17,96120,2012,0,0,0,0,0
18,90245,2012,0,0,0,0,0
19,96140,2012,0,0,0,0,0
20,95461,2012,0,0,0,0,0
21,96019,2012,0,0,0,0,0
22,94544,2012,9,9,0,0,0
23,95659,2012,1,0,0,1,0
24,93105,2012,0,0,0,0,0
25,95374,2012,0,0,0,0,0
26,95470,2012,0,0,0,0,0
27,90403,2012,0,0,0,0,0
28,94510,2012,7,4,0,0,3
29,91761,2012,89,78,7,0,4
30,95932,2012,0,0,0,0,0
31,90059,2012,1,1,0,0,0
32,92210,2012,0,0,0,0,0
33,95605,2012,0,0,0,0,0
34,94587,2012,8,4,1,0,3
35,95356,2012,1,0,0,0,1
36,90710,2012,0,0,0,0,0
37,92655,2012,0,0,0,0,0
38,90025,2012,0,0,0,0,0
39,92114,2012,0,0,0,0,0
40,96007,2012,0,0,0,0,0
41,92405,2012,0,0,0,0,0
42,95540,2012,0,0,0,0,0
43,90062,2012,0,0,0,0,0
44,92122,2012,0,0,0,0,0
45,95602,2012,0,0,0,0,0
46,91608,2012,0,0,0,0,0
47,91762,2012,0,0,0,0,0
48,95346,2012,0,0,0,0,0
49,91106,2012,0,0,0,0,0
50,95046,2012,0,0,0,0,0
51,90029,2012,0,0,0,0,0
52,91403,2012,0,0,0,0,0
53,92057,2012,0,0,0,0,0
54,94002,2012,0,0,0,0,0
55,93430,2012,0,0,0,0,0
56,92251,2012,2,2,0,0,0
57,95465,2012,0,0,0,0,0
58,92703,2012,0,0,0,0,0
59,95380,2012,5,0,5,0,0
60,90031,2012,0,0,0,0,0
61,94030,2012,0,0,0,0,0
62,95965,2012,0,0,0,0,0
63,90704,2012,0,0,0,0,0
64,90047,2012,0,0,0,0,0
65,95690,2012,1,1,0,0,0
66,96103,2012,0,0,0,0,0
67,93307,2012,1,0,0,1,0
68,92835,2012,2,1,1,0,0
69,91340,2012,1,0,0,0,1
70,94706,2012,0,0,0,0,0
71,95237,2012,0,0,0,0,0
72,93609,2012,0,0,0,0,0
73,95917,2012,0,0,0,0,0
74,92320,2012,0,0,0,0,0
75,93561,2012,0,0,0,0,0
76,92220,2012,0,0,0,0,0
77,93239,2012,0,0,0,0,0
78,92307,2012,2,2,0,0,0
79,94597,2012,0,0,0,0,0
80,95667,2012,1,0,0,0,1
81,92806,2012,2,1,1,0,0
82,92683,2012,1,1,0,0,0
83,92140,2012,0,0,0,0,0
84,95817,2012,0,0,0,0,0
85,94589,2012,0,0,0,0,0
86,94574,2012,3,0,1,0,2
87,95678,2012,2,2,0,0,0
88,92371,2012,0,0,0,0,0
89,94086,2012,2,0,0,0,2
90,95457,2012,0,0,0,0,0
91,95993,2012,0,0,0,0,0
92,92570,2012,2,2,0,0,0
93,90008,2012,0,0,0,0,0
94,91786,2012,1,0,0,0,1
95,92028,2012,0,0,0,0,0
96,95963,2012,2,0,2,0,0
97,93263,2012,2,2,0,0,0
98,95014,2012,0,0,0,0,0
99,94563,2012,0,0,0,0,0
100,92233,2012,1,0,0,1,0
101,95240,2012,1,1,0,0,0
102,95669,2012,0,0,0,0,0
103,95377,2012,4,2,2,0,0
104,92262,2012,0,0,0,0,0
105,95638,2012,0,0,0,0,0
106,91371,2012,0,0,0,0,0
107,95192,2012,0,0,0,0,0
108,92691,2012,0,0,0,0,0
109,95828,2012,8,5,1,0,2
110,91601,2012,1,1,0,0,0
111,90021,2012,7,0,5,0,2
112,93274,2012,3,0,2,0,1
113,90249,2012,4,3,0,0,1
114,93219,2012,0,0,0,0,0
115,95946,2012,0,0,0,0,0
116,94117,2012,1,0,0,0,1
117,94518,2012,0,0,0,0,0
118,92373,2012,3,3,0,0,0
119,95005,2012,1,0,1,0,0
120,92394,2012,0,0,0,0,0
121,90024,2012,0,0,0,0,0
122,92637,2012,0,0,0,0,0
123,91746,2012,12,8,1,0,3
124,90057,2012,0,0,0,0,0
125,94035,2012,0,0,0,0,0
126,95451,2012,0,0,0,0,0
127,90242,2012,2,2,0,0,0
128,96003,2012,0,0,0,0,0
129,93215,2012,2,1,1,0,0
130,94503,2012,14,4,1,0,9
131,95403,2012,3,2,0,0,1
132,92103,2012,0,0,0,0,0
133,93437,2012,0,0,0,0,0
134,90019,2012,0,0,0,0,0
135,93907,2012,2,2,0,0,0
136,92501,2012,1,0,0,0,1
137,48,2012,0,0,0,0,0
138,92567,2012,1,1,0,0,0
139,95536,2012,0,0,0,0,0
140,92408,2012,14,12,0,0,2
141,95650,2012,0,0,0,0,0
142,91345,2012,0,0,0,0,0
143,93901,2012,14,6,7,0,1
144,93277,2012,0,0,0,0,0
145,92706,2012,0,0,0,0,0
146,90275,2012,0,0,0,0,0
147,92886,2012,0,0,0,0,0
148,95327,2012,0,0,0,0,0
149,95973,2012,1,1,0,0,0
150,96101,2012,0,0,0,0,0
151,93285,2012,0,0,0,0,0
152,91708,2012,16,16,0,0,0
153,90802,2012,2,0,0,0,2
154,92880,2012,3,3,0,0,0
155,93550,2012,0,0,0,0,0
156,95122,2012,1,0,0,0,1
157,92347,2012,0,0,0,0,0
158,95020,2012,0,0,0,0,0
159,96150,2012,0,0,0,0,0
160,91790,2012,0,0,0,0,0
161,95765,2012,3,1,0,0,2
162,93436,2012,2,0,0,0,2
163,91301,2012,1,1,0,0,0
164,93620,2012,0,0,0,0,0
165,92120,2012,1,1,0,0,0
166,90033,2012,0,0,0,0,0
167,93003,2012,1,1,0,0,0
168,93225,2012,0,0,0,0,0
169,94402,2012,0,0,0,0,0
170,94951,2012,0,0,0,0,0
171,93925,2012,0,0,0,0,0
172,57,2012,0,0,0,0,0
173,95742,2012,1,1,0,0,0
174,93458,2012,2,0,1,0,1
175,92545,2012,0,0,0,0,0
176,94403,2012,0,0,0,0,0
177,95035,2012,4,3,0,0,1
178,90020,2012,0,0,0,0,0
179,95833,2012,1,1,0,0,0
180,90680,2012,0,0,0,0,0
181,95603,2012,0,0,0,0,0
182,93536,2012,2,2,0,0,0
183,92648,2012,2,0,0,0,2
184,95640,2012,0,0,0,0,0
185,93633,2012,0,0,0,0,0
186,90731,2012,5,4,1,0,0
187,95943,2012,0,0,0,0,0
188,92278,2012,0,0,0,0,0
189,95202,2012,1,0,0,0,1
190,93662,2012,1,0,1,0,0
191,94535,2012,1,1,0,0,0
192,92260,2012,0,0,0,0,0
193,92058,2012,0,0,0,0,0
194,94703,2012,0,0,0,0,0
195,95407,2012,1,1,0,0,0
196,94585,2012,0,0,0,0,0
197,94952,2012,0,0,0,0,0
198,92083,2012,1,0,0,0,1
199,95204,2012,0,0,0,0,0
200,94538,2012,4,4,0,0,0
201,90212,2012,0,0,0,0,0
