zip,year,est total,est gen,est cold,est farm,est other
93706,2019,6,3,0,0,0
91761,2019,97,84,6,0,6
95203,2019,3,0,0,0,0
93725,2019,20,9,3,3,5
90023,2019,14,7,6,0,0
93721,2019,0,0,0,0,0
95354,2019,4,0,0,0,0
93307,2019,0,0,0,0,0
90247,2019,0,0,0,0,0
90001,2019,3,0,0,0,0
90021,2019,9,3,4,0,0
95206,2019,12,8,3,0,0
95202,2019,0,0,0,0,0
95351,2019,0,0,0,0,0
92410,2019,0,0,0,0,0
90002,2019,0,0,0,0,0
92501,2019,0,0,0,0,0
93662,2019,0,0,0,0,0
90059,2019,4,4,0,0,0
90220,2019,27,24,0,0,0
92401,2019,0,0,0,0,0
90011,2019,0,0,0,0,0
95205,2019,3,0,0,0,0
90033,2019,0,0,0,0,0
93728,2019,0,0,0,0,0
95330,2019,13,10,0,0,0
90063,2019,0,0,0,0,0
92113,2019,0,0,0,0,0
91201,2019,0,0,0,0,0
90065,2019,0,0,0,0,0
92507,2019,17,13,0,0,0
92324,2019,4,3,0,0,0
93702,2019,0,0,0,0,0
91766,2019,7,4,0,0,3
90040,2019,16,15,0,0,0
90805,2019,4,4,0,0,0
90016,2019,0,0,0,0,0
90201,2019,4,4,0,0,0
92518,2019,4,4,0,0,0
92335,2019,23,19,3,0,0
93648,2019,0,0,0,0,0
93701,2019,0,0,0,0,0
91204,2019,0,0,0,0,0
95811,2019,0,0,0,0,0
90248,2019,9,7,0,0,0
90003,2019,0,0,0,0,0
92408,2019,19,16,0,0,0
91411,2019,0,0,0,0,0
92504,2019,0,0,0,0,0
91352,2019,0,0,0,0,0
90813,2019,4,0,0,0,3
91605,2019,4,3,0,0,0
90810,2019,19,17,0,0,0
90501,2019,15,15,0,0,0
91732,2019,0,0,0,0,0
95358,2019,3,0,0,0,0
90058,2019,37,15,17,0,5
95350,2019,0,0,0,0,0
93727,2019,7,5,0,0,0
91768,2019,3,0,0,0,0
90280,2019,8,5,0,0,0
90031,2019,0,0,0,0,0
93654,2019,6,0,5,0,0
90013,2019,0,0,0,0,0
91606,2019,0,0,0,0,0
90061,2019,0,0,0,0,0
90255,2019,0,0,0,0,0
92553,2019,6,6,0,0,0
93722,2019,0,0,0,0,0
90723,2019,6,5,0,0,0
90012,2019,0,0,0,0,0
91731,2019,5,4,0,0,0
90304,2019,0,0,0,0,0
90301,2019,0,0,0,0,0
91406,2019,8,7,0,0,0
92405,2019,0,0,0,0,0
91764,2019,8,7,0,0,0
91706,2019,11,6,3,0,0
90221,2019,13,12,0,0,0
90047,2019,0,0,0,0,0
91405,2019,0,0,0,0,0
93703,2019,0,0,0,0,0
92316,2019,8,5,0,0,0
91205,2019,0,0,0,0,0
90039,2019,0,0,0,0,0
92509,2019,13,8,5,0,0
92407,2019,4,4,0,0,0
90250,2019,0,0,0,0,0
95348,2019,0,0,0,0,0
95380,2019,4,0,3,0,0
90222,2019,4,4,0,0,0
91733,2019,6,5,0,0,0
95367,2019,0,0,0,0,0
90044,2019,0,0,0,0,0
95814,2019,0,0,0,0,0
91730,2019,41,35,3,0,0
90731,2019,5,4,0,0,0
91331,2019,0,0,0,0,0
90746,2019,10,8,0,0,0
90249,2019,0,0,0,0,0
90015,2019,0,0,0,0,0
91762,2019,0,0,0,0,0
93230,2019,0,0,0,0,0
90744,2019,12,7,3,0,0
95215,2019,10,8,0,0,0
90026,2019,0,0,0,0,0
94621,2019,7,5,0,0,0
90806,2019,0,0,0,0,0
90062,2019,0,0,0,0,0
91767,2019,3,0,0,0,0
90650,2019,4,4,0,0,0
90262,2019,4,0,0,0,0
93650,2019,0,0,0,0,0
90022,2019,0,0,0,0,0
94603,2019,0,0,0,0,0
92879,2019,0,0,0,0,0
93304,2019,0,0,0,0,0
92551,2019,8,7,0,0,0
90745,2019,17,13,0,0,3
93250,2019,0,0,0,0,0
90037,2019,0,0,0,0,0
90038,2019,0,0,0,0,0
90660,2019,14,7,0,0,6
93635,2019,0,0,0,0,0
93030,2019,8,6,0,0,0
90004,2019,0,0,0,0,0
92374,2019,28,27,0,0,0
90606,2019,0,0,0,0,0
92411,2019,0,0,0,0,0
90007,2019,0,0,0,0,0
90605,2019,0,0,0,0,0
92243,2019,0,0,0,0,0
92806,2019,4,4,0,0,0
95336,2019,5,3,0,0,0
90018,2019,0,0,0,0,0
90028,2019,0,0,0,0,0
91746,2019,10,7,0,0,0
93308,2019,9,6,0,0,0
93257,2019,0,0,0,0,0
95307,2019,0,0,0,0,0
93215,2019,6,3,3,0,0
90670,2019,39,34,0,0,4
91763,2019,4,4,0,0,0
93637,2019,0,0,0,0,0
93640,2019,0,0,0,0,0
91402,2019,0,0,0,0,0
95826,2019,5,3,0,0,0
90640,2019,9,4,3,0,0
95340,2019,3,0,0,0,0
92570,2019,3,3,0,0,0
90017,2019,0,0,0,0,0
94804,2019,6,0,0,0,5
93274,2019,3,0,3,0,0
94565,2019,5,3,0,0,0
