zip,total population,ozone,ozone pctl,pm2.5,pm2.5 pctl,diesel pm,diesel pm pctl,pesticides,pesticides pctl,tri,tri pctl,traffic,traffic pctl,cleanup sites,cleanup sites pctl,groundwater threats,groundwater threats pctl,haz. waste,haz. waste pctl,imp. water bodies,imp. water bodies pctl,solid waste,solid waste pctl,pollution burden,pollution burden score,age,age pctl,asthma,asthma pctl,low birth weight,low birth weight pctl,education,education pctl,linguistic isolation,linguistic isolation pctl,poverty,poverty pctl,pop. char. ,pop. char. score,ces_score,ces_per_range,year
93706,41087,0.177311,76.55,15.61,95.96,6.14,56.19,1120.3,90.59,1962734.0,86.14,388.7,37.64,195,97.58,301,93.43,4.825,84.99,0,0.0,12,84.91,73.4,7.3,28.43,76.46,132.4,98.95,9.1,95.94,47.6,94.22,16.9,79.82,70.6,96.91,90.4,9.0,66.3,96-100% (highest scores),2013
93307,82658,0.512336,93.7,19.4,99.69,9.57,64.73,7128.7,98.37,78149.0,59.59,710.3,52.05,104,92.39,202,88.83,10.1,94.64,0,0.0,20,95.69,76.9,7.7,26.93,63.71,55.93,79.51,7.49,76.29,49.7,95.44,18.8,84.27,67.1,95.56,82.5,8.2,63.44,96-100% (highest scores),2013
95205,38069,0.02279,38.53,12.51,71.65,18.95,80.5,94.2,72.24,4773280.0,90.28,1352.2,72.67,96,91.62,325,94.11,9.6,94.22,6,63.87,5,53.97,73.5,7.4,27.72,71.26,73.3,90.71,6.95,60.92,47.9,94.4,23.7,89.37,68.6,96.23,83.8,8.4,61.6,96-100% (highest scores),2013
93702,48607,0.317831,86.99,16.08,97.06,36.85,94.91,7.92,53.79,40129.0,53.76,1070.1,65.38,56,82.8,73,65.47,1.275,48.13,0,0.0,2,28.97,66.4,6.6,27.62,70.8,93.5,95.32,8.4,91.26,55.4,97.38,22.4,87.97,73.5,97.72,90.1,9.0,59.83,96-100% (highest scores),2013
90058,3223,0.015613,31.32,15.26,94.98,56.8,98.36,0.0,0.0,30458023.0,97.54,923.7,59.97,415,99.83,178,86.73,58.775,100.0,7,71.67,34,99.22,71.9,7.2,25.01,43.2,57.2,80.8,7.34,72.0,69.6,99.7,37.9,97.69,90.5,99.88,82.2,8.2,59.08,96-100% (highest scores),2013
95203,15696,0.022212,37.78,12.31,70.36,17.52,78.69,12.8,58.31,5510851.0,90.93,1328.5,72.15,179,96.89,1154,99.39,2.975,73.71,16,95.73,14,88.1,74.7,7.5,25.48,48.46,103.9,96.86,7.93,85.26,33.9,86.43,12.4,69.11,53.9,85.62,78.6,7.9,58.75,96-100% (highest scores),2013
95206,65004,0.025318,40.1,11.92,66.5,8.23,61.79,252.3,79.83,11002150.0,93.65,711.7,52.11,163,96.28,434,96.68,8.05,92.53,21,98.83,34,99.22,74.8,7.5,26.0,53.66,86.17,93.97,7.08,65.6,38.2,89.41,18.4,83.2,51.1,82.65,78.1,7.8,58.4,96-100% (highest scores),2013
93725,24979,0.204558,78.71,16.02,96.75,9.6,64.84,1351.9,91.83,135622.0,65.8,580.9,46.01,160,95.94,312,93.77,13.1,96.97,0,0.0,33,98.79,74.9,7.5,27.4,68.17,69.59,89.35,6.35,40.25,43.3,91.97,16.4,78.58,62.5,93.46,77.0,7.7,57.65,96-100% (highest scores),2013
92408,15271,0.812961,98.26,14.01,83.28,22.65,84.68,0.346,29.88,576964.0,78.5,1725.2,80.92,91,90.75,110,75.08,5.95,88.87,1,14.5,24,97.41,75.2,7.5,23.19,22.74,73.255,90.65,8.11,87.68,31.5,83.51,18.5,83.36,55.4,87.22,75.9,7.6,57.01,96-100% (highest scores),2013
90220,49328,0.0,0.0,14.6,88.43,27.27,89.09,17.9,60.61,3238446.0,88.6,1106.1,66.17,44,75.37,191,87.95,19.25,98.87,6,63.87,15,90.0,70.7,7.1,25.44,48.0,91.89,94.89,8.41,91.42,38.6,89.53,11.7,66.89,53.8,85.37,79.4,7.9,56.1,96-100% (highest scores),2013
90023,45903,0.020995,36.37,15.25,94.67,72.22,98.93,0.0,0.0,9255514.0,93.39,3247.7,98.41,191,97.49,131,79.28,31.775,99.79,7,71.67,19,94.4,75.7,7.6,25.54,49.31,52.16,76.06,5.93,25.98,58.8,98.3,42.1,98.43,69.1,96.36,74.1,7.4,56.04,96-100% (highest scores),2013
92335,95397,0.626117,95.86,16.16,97.43,24.58,86.21,0.171,23.82,6963617.0,92.75,1574.5,77.68,98,91.96,45,51.79,13.95,97.39,0,0.0,15,90.0,75.2,7.5,24.94,42.17,57.59,81.29,6.65,51.01,43.1,91.84,23.5,88.88,57.2,88.64,74.0,7.4,55.64,96-100% (highest scores),2013
90810,36735,0.0,0.0,13.87,81.87,40.71,96.1,1.03,37.94,41814294.0,98.7,2221.2,90.72,160,95.94,394,95.73,21.85,99.22,23,99.16,22,96.81,76.3,7.6,25.2,45.14,54.47,78.09,7.67,80.58,29.3,80.58,15.3,76.94,45.1,74.07,72.6,7.3,55.39,96-100% (highest scores),2013
91706,76571,0.173299,76.3,14.13,84.26,25.6,87.39,9.11,54.85,4825629.0,90.54,2281.2,91.69,55,82.11,514,97.56,17.925,98.73,7,71.67,37,99.48,83.5,8.4,23.72,27.77,43.91,65.35,6.75,53.59,43.2,91.91,18.8,84.27,45.1,74.07,66.2,6.6,55.25,96-100% (highest scores),2013
91733,43896,0.064847,55.26,14.77,90.08,30.57,92.03,6.03,51.78,14260.0,45.85,1792.6,83.31,78,87.29,1478,99.53,6.7,90.56,7,71.67,6,62.07,73.4,7.3,24.83,40.4,42.27,62.28,7.17,67.32,52.9,96.29,32.3,95.63,57.2,88.64,75.1,7.5,55.12,96-100% (highest scores),2013
90221,53704,0.001197,6.38,14.73,89.77,35.0,94.4,0.0,0.0,2076168.0,86.92,1740.2,81.61,77,87.21,342,94.65,14.55,97.74,9,80.47,7,67.16,67.4,6.7,25.2,45.14,79.35,92.49,7.15,66.85,49.8,95.5,20.8,86.82,62.2,93.15,80.0,8.0,53.89,96-100% (highest scores),2013
90813,58911,0.0,0.0,13.45,78.38,80.53,99.27,0.044,15.18,1004072.0,81.99,861.1,57.35,70,86.0,259,91.54,16.175,98.17,11,87.43,22,96.81,66.1,6.6,23.59,26.46,103.0,96.68,7.86,84.24,45.1,92.94,26.1,91.35,69.5,96.54,81.4,8.1,53.81,96-100% (highest scores),2013
90805,93524,0.000208,1.49,14.44,87.14,40.03,95.87,6.25,51.97,1329772.0,82.9,2371.6,92.88,36,69.32,310,93.64,5.25,87.03,9,80.47,11,82.16,72.8,7.3,23.71,27.66,75.43,91.38,8.26,89.78,32.4,84.54,12.8,70.76,48.6,79.38,73.9,7.4,53.79,96-100% (highest scores),2013
90248,9947,0.0,0.0,14.38,86.59,41.09,96.16,3.16,46.4,190021.0,68.91,3142.3,98.18,204,98.01,423,96.34,14.4,97.6,18,97.32,57,100.0,75.4,7.5,29.05,80.17,55.61,78.89,7.45,74.65,24.5,74.25,16.8,79.65,26.3,40.37,71.3,7.1,53.78,96-100% (highest scores),2013
90033,48852,0.027202,41.34,15.23,94.49,84.56,99.43,0.0,0.0,109254.0,63.08,2929.6,96.92,85,89.89,174,85.65,3.0,74.07,7,71.67,5,53.97,68.6,6.9,25.81,51.71,60.56,83.63,6.32,39.16,51.9,95.98,37.0,97.45,67.2,95.62,77.3,7.7,52.98,96-100% (highest scores),2013
90723,54099,0.004532,16.98,14.79,90.32,28.71,90.16,2.77,45.63,14222781.0,94.69,1828.3,84.17,40,72.52,240,90.66,6.025,89.15,7,71.67,8,71.9,72.9,7.3,23.59,26.46,50.64,74.77,7.33,71.68,43.7,92.21,18.9,84.51,54.4,86.11,72.6,7.3,52.96,96-100% (highest scores),2013
92316,30830,0.640502,96.27,15.9,96.45,19.85,81.35,2.89,45.82,176004.0,68.26,1458.8,74.89,16,45.89,166,84.29,8.95,93.73,0,0.0,19,94.4,73.2,7.3,23.59,26.46,86.955,94.34,6.6,49.38,39.5,90.02,19.1,84.76,56.3,88.09,72.2,7.2,52.83,96-100% (highest scores),2013
95341,32967,0.14948,72.99,12.88,74.59,5.46,53.99,345.4,81.75,133989.0,65.54,424.6,39.35,31,65.51,147,81.58,2.225,64.34,5,57.17,5,53.97,64.6,6.5,27.23,66.69,,,7.11,66.15,47.3,94.1,18.2,82.87,66.5,95.31,81.0,8.1,52.38,96-100% (highest scores),2013
95351,46458,0.080143,58.49,14.03,83.47,20.35,82.02,2.23,43.42,53479.0,56.48,1273.5,70.44,59,83.66,68,62.83,3.425,77.52,7,71.67,6,62.07,67.4,6.7,26.2,56.74,66.635,88.0,6.55,47.89,43.8,92.33,20.5,86.16,63.8,94.14,77.5,7.8,52.29,96-100% (highest scores),2013
95828,57862,0.069664,56.5,10.98,58.6,9.83,65.46,91.0,71.76,2202401.0,87.31,1123.0,66.63,52,80.99,116,76.24,12.4,96.26,5,57.17,15,90.0,71.4,7.1,25.92,52.74,73.67,90.83,7.53,77.22,27.2,78.21,13.2,71.99,41.3,67.35,73.1,7.3,52.14,96-100% (highest scores),2013
90247,47487,0.0,0.0,14.44,87.2,35.83,94.52,4.34,49.47,11362.0,44.04,2078.5,88.44,84,89.54,163,83.75,4.175,82.1,7,71.67,20,95.69,67.7,6.8,26.19,56.57,56.97,80.55,8.2,88.85,22.5,70.6,20.8,86.82,47.7,77.78,76.9,7.7,52.0,96-100% (highest scores),2013
91406,51558,0.138935,71.75,12.55,71.89,31.37,92.48,12.0,57.83,331489.0,74.35,2049.2,88.21,96,91.62,93,72.17,8.225,92.67,7,71.67,5,53.97,76.2,7.6,22.55,17.77,55.94,79.57,8.19,88.61,24.3,73.77,16.7,79.57,42.9,69.94,68.2,6.8,51.96,96-100% (highest scores),2013
93727,71820,0.323936,87.24,15.57,95.77,18.39,79.71,236.9,79.35,134778.0,65.67,625.7,48.12,47,77.44,71,64.45,4.375,82.95,0,0.0,6,62.07,70.5,7.1,27.35,67.66,62.315,84.86,8.11,87.6,23.7,72.61,8.0,51.65,46.2,75.86,73.4,7.3,51.73,96-100% (highest scores),2013
93721,6959,0.304269,86.08,16.15,97.37,52.34,97.91,1.85,41.88,1971572.0,86.27,765.0,54.33,93,91.18,66,62.09,2.55,68.22,0,0.0,0,0.0,67.6,6.8,20.94,10.8,96.76,95.75,7.66,80.03,45.0,92.88,17.9,81.96,71.8,97.28,76.5,7.6,51.68,96-100% (highest scores),2013
