census tract,total population,county,ces_score,ces_per_range,ozone,ozone pctl,pm2.5,pm2.5 pctl,diesel pm,diesel pm pctl,drinking water,drinking water pctl,pesticides,pesticides pctl,tox. release,tox. release pctl,traffic,traffic pctl,cleanup sites,cleanup sites pctl,groundwater threats,groundwater threats pctl,haz. waste,haz. waste pctl,imp. water bodies,imp. water bodies pctl,solid waste,solid waste pctl,pollution burden,pollution burden score,pollution burden pctl,age,age pctl,asthma,asthma pctl,low birth weight,low birth weight pctl,education,education pctl,linguistic isolation,linguistic isolation pctl,poverty,poverty pctl,unemployment,unemployment pctl,pop. char. ,pop. char. score,pop. char. pctl,year,city,zip,latitude,longitude
6019001100,3174,Fresno ,89.22,96-100% (highest scores),0.255228,80.87,14.74608667,97.83,44.23,93.91,519.8823702,83.3,5.470140445,53.9,96414.45837,99.81,1217.53568,66.95,85.5,98.86,55.75,85.47,0.52,74.84,0,0.0,5.0,81.49,78.62112747,9.530973451,99.95,26.4,67.66,130.748821,99.03,0.0580253,94.73,55.2,95.6,21.6,83.66,77.50086535,97.78,19.3,92.05,90.07226789,9.360658464,99.6,2014,Fresno,93706,36.709695199999999, -119.7816961
6019000300,3609,Fresno ,83.71,96-100% (highest scores),0.28713,83.28,14.61961825,97.57,46.75,94.76,519.8823702,83.3,37.74917795,69.58,19637.9721,97.79,666.915834,36.06,23.5,86.17,27.5,68.24,0.16,50.42,0,0.0,1.0,37.88,71.9677581,8.724451449,99.45,29.9,88.03,132.4,99.19,0.0612328,98.4,47.3,91.05,18.3,78.34,81.2040316,98.93,,,92.32324286,9.594591786,99.9,2014,Fresno,93706,36.726461999999998, -119.8010347
6019000200,3167,Fresno ,83.47,96-100% (highest scores),0.304446,84.4,14.55465574,97.47,46.91,94.8,519.8823702,83.3,11.69644427,60.54,11826.72494,95.53,1012.283892,59.69,21.25,84.41,49.75,83.07,0.21,56.85,0,0.0,0.0,0.0,72.40857778,8.777912474,99.54,27.5,76.31,132.321225,99.11,0.0628638,99.29,52.1,93.95,16.2,74.04,86.82842288,99.66,25.27,98.14,91.49903941,9.508958264,99.8,2014,Fresno,93706,36.735491400000001, -119.8055044
6019001500,2206,Fresno ,83.08,96-100% (highest scores),0.225687,78.25,14.93764894,98.06,15.66,54.75,753.5405009,98.37,2105.763777,93.82,5846.924529,87.54,785.580102,45.43,51.0,96.05,100.5,93.72,12.76,99.48,0,0.0,22.2,99.29,78.99940853,9.576797188,99.96,27.9,78.76,69.533088,87.18,0.0525352,69.29,46.4,90.48,19.5,80.68,62.74608783,88.32,18.3,89.6,83.47428094,8.674966744,97.74,2014,Fresno,93725,36.681600000000003, -119.71784270000001
6019000600,6161,Fresno ,82.95,96-100% (highest scores),0.327935,85.81,14.50641288,97.33,57.64,97.57,519.8823702,83.3,568.1125113,87.65,7158.199033,90.58,838.783805,49.37,4.95,43.88,26.0,66.8,0.27,62.35,0,0.0,0.0,0.0,71.38042314,8.653170081,99.32,29.0,84.47,116.899716,97.94,0.062997,99.34,45.9,90.09,16.9,75.49,88.68099296,99.79,26.69,98.61,92.24625973,9.586589624,99.89,2014,Fresno,93721,36.743062999999999, -119.7933565
6071001600,6133,San Bernardino,80.7,96-100% (highest scores),0.465401,92.5,13.88822372,96.19,47.08,94.83,604.3118027,90.34,1.363343185,42.11,8122.687693,91.87,1232.874128,67.41,56.2,96.58,49.0,82.87,1.845,91.31,5,55.5,2.0,58.45,80.80037303,9.795126682,99.99,23.9,39.98,44.909559,60.66,0.0638952,99.56,60.0,97.68,21.8,84.03,66.53966055,91.46,15.71,81.57,79.2770147,8.238796974,94.58,2014,Ontario,91761,34.0577805, -117.6180131
6019000902,5252,Fresno ,80.05,96-100% (highest scores),0.269893,81.91,14.67323087,97.73,40.93,92.38,519.8823702,83.3,29.77080764,68.02,32996.714,98.88,352.831826,14.1,12.1,69.11,6.5,27.03,0.02,8.91,0,0.0,4.25,76.9,66.03011634,8.004606619,97.37,29.8,87.69,132.4,99.19,0.0617052,98.72,57.1,96.47,30.3,92.83,81.2125893,98.95,32.71,99.72,96.22414122,10.0,100.0,2014,Fresno,93706,36.717768999999997, -119.8042772
6019000502,3606,Fresno ,78.84,96-100% (highest scores),0.335804,86.22,14.4963366,97.31,59.02,97.66,519.8823702,83.3,1376.853183,91.96,4214.249276,80.71,1467.881111,73.02,0.0,0.0,0.0,0.0,0.1,39.19,0,0.0,0.0,0.0,66.29130288,8.036246818,97.59,29.2,85.4,116.326106,97.88,0.059459,96.75,56.6,96.27,25.4,88.74,74.43046583,96.49,28.8,99.24,94.39562512,9.810026605,99.99,2014,Fresno,93701,36.744405700000002, -119.781537
6019000901,3151,Fresno ,77.86,96-100% (highest scores),0.258082,81.06,14.7188158,97.78,41.04,92.54,519.8823702,83.3,64.18533159,73.5,22802.28254,98.12,415.383766,17.54,14.2,74.66,18.0,55.59,0.0,0.0,0,0.0,3.5,71.76,67.87770682,8.228633774,98.34,31.3,91.97,132.4,99.19,0.0572989,93.17,48.0,91.47,15.5,72.35,76.21602289,97.29,19.22,91.92,91.05045802,9.462296309,99.76,2014,Fresno,93706,36.710469699999997, -119.804301
6037206050,2146,Los Angeles,77.8,96-100% (highest scores),0.020888,40.66,12.69665284,87.03,86.29,99.27,458.0414672,74.57,0.0,0.0,4981.299677,84.13,4181.53668,97.23,34.3,92.16,39.7,78.13,7.52,98.68,7,71.63,12.6,95.86,73.80230813,8.946781428,99.76,36.8,97.75,56.571369,77.0,0.0493251,31.26,45.4,89.66,43.1,98.07,67.53006475,92.32,32.16,99.67,83.67653133,8.696063352,97.86,2014,Los Angeles,90023,34.029903599999997, -118.22445310000001
